Timecode List:,00:00:00.569,00:00:07.030,00:00:31.167,00:00:37.996,00:00:40.406,00:00:48.039,00:01:40.363,00:01:44.113,00:02:01.889,00:02:08.584,00:03:11.855,00:03:47.541,00:03:48.646,00:03:53.701,00:04:00.798,00:04:09.937,00:04:11.343,00:04:17.336,00:04:45.925,00:05:42.333,00:05:45.446,00:05:57.532,00:06:22.673,00:06:38.172,00:06:47.546,00:06:56.216,00:07:04.954,00:07:28.521,00:07:51.419,00:07:52.926,00:09:04.399,00:09:12.232,00:10:59.860,00:11:58.009,00:12:04.135,00:12:22.882,00:12:27.569,00:12:31.352,00:13:58.324,00:14:02.978,00:15:24.996,00:16:43.699,00:17:41.581,00:20:00.375,00:21:07.128,00:21:13.756,00:21:14.560,00:22:06.114,00:22:27.572,00:22:29.682,00:24:24.406,00:24:27.218,00:24:42.752,00:24:43.957,00:24:53.732
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,17,00:00:00.569,0.569,17,00:00:00.569,0.569
2,17,00:00:00.569,0.569,210,00:00:07.030,7.030,193,00:00:06.461,6.461
3,210,00:00:07.030,7.030,931,00:00:31.167,31.167,721,00:00:24.137,24.137
4,931,00:00:31.167,31.167,1135,00:00:37.996,37.996,204,00:00:06.829,6.829
5,1135,00:00:37.996,37.996,1207,00:00:40.406,40.406,72,00:00:02.410,2.410
6,1207,00:00:40.406,40.406,1435,00:00:48.039,48.039,228,00:00:07.633,7.633
7,1435,00:00:48.039,48.039,2998,00:01:40.363,100.363,1563,00:00:52.324,52.324
8,2998,00:01:40.363,100.363,3110,00:01:44.113,104.113,112,00:00:03.749,3.749
9,3110,00:01:44.113,104.113,3641,00:02:01.889,121.889,531,00:00:17.776,17.776
10,3641,00:02:01.889,121.889,3841,00:02:08.584,128.584,200,00:00:06.695,6.695
11,3841,00:02:08.584,128.584,5731,00:03:11.855,191.855,1890,00:01:03.271,63.271
12,5731,00:03:11.855,191.855,6797,00:03:47.541,227.541,1066,00:00:35.686,35.686
13,6797,00:03:47.541,227.541,6830,00:03:48.646,228.646,33,00:00:01.105,1.105
14,6830,00:03:48.646,228.646,6981,00:03:53.701,233.701,151,00:00:05.055,5.055
15,6981,00:03:53.701,233.701,7193,00:04:00.798,240.798,212,00:00:07.097,7.097
16,7193,00:04:00.798,240.798,7466,00:04:09.937,249.937,273,00:00:09.139,9.139
17,7466,00:04:09.937,249.937,7508,00:04:11.343,251.343,42,00:00:01.406,1.406
18,7508,00:04:11.343,251.343,7687,00:04:17.336,257.336,179,00:00:05.992,5.992
19,7687,00:04:17.336,257.336,8541,00:04:45.925,285.925,854,00:00:28.589,28.589
20,8541,00:04:45.925,285.925,10226,00:05:42.333,342.333,1685,00:00:56.408,56.408
21,10226,00:05:42.333,342.333,10319,00:05:45.446,345.446,93,00:00:03.113,3.113
22,10319,00:05:45.446,345.446,10680,00:05:57.532,357.532,361,00:00:12.085,12.085
23,10680,00:05:57.532,357.532,11431,00:06:22.673,382.673,751,00:00:25.141,25.141
24,11431,00:06:22.673,382.673,11894,00:06:38.172,398.172,463,00:00:15.500,15.500
25,11894,00:06:38.172,398.172,12174,00:06:47.546,407.546,280,00:00:09.373,9.373
26,12174,00:06:47.546,407.546,12433,00:06:56.216,416.216,259,00:00:08.670,8.670
27,12433,00:06:56.216,416.216,12694,00:07:04.954,424.954,261,00:00:08.737,8.737
28,12694,00:07:04.954,424.954,13398,00:07:28.521,448.521,704,00:00:23.568,23.568
29,13398,00:07:28.521,448.521,14082,00:07:51.419,471.419,684,00:00:22.898,22.898
30,14082,00:07:51.419,471.419,14127,00:07:52.926,472.926,45,00:00:01.506,1.506
31,14127,00:07:52.926,472.926,16262,00:09:04.399,544.399,2135,00:01:11.473,71.473
32,16262,00:09:04.399,544.399,16496,00:09:12.232,552.232,234,00:00:07.834,7.834
33,16496,00:09:12.232,552.232,19711,00:10:59.860,659.860,3215,00:01:47.628,107.628
34,19711,00:10:59.860,659.860,21448,00:11:58.009,718.009,1737,00:00:58.149,58.149
